DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
4CSJ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4PML	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
9BL2	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4HKK	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4G84	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5E8Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PYN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1XOZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1MV9	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5R65	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2YVI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3ZRL	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6SHZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7B48	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3BSX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3BHX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8XVJ	AF_RAW	/home/ibab/project/alphafold_pdbs(cleaned)
4JR1	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1JQZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7FT1	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6RM5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6V0Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4Q2P	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6NJZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8WFI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4YOL	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8DJE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8XPV	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6WB3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1CP3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3BAD	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1IBC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3H1P	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2IUG	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4MZI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8DJD	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5C1D	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8OMF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5MHP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3GB2	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6H5T	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4XVE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1Z2V	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3TG5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7NMI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6I63	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3R9A	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5ADT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6Y3W	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6Y4S	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6YM4	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1RWV	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6ACB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3GM3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6WOI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
